image_path,label,is_valid,width,height,image_format,reason
gore/00000-4044028276.png,gore,true,512,512,PNG,
gore/00001-2732446394.png,gore,true,512,512,PNG,
gore/00002-2732446395.png,gore,true,512,512,PNG,
gore/00003-2732446396.png,gore,true,512,512,PNG,
gore/00004-2732446397.png,gore,true,512,512,PNG,
gore/00005-1565006504.png,gore,true,512,512,PNG,
gore/00006-1565006505.png,gore,true,512,512,PNG,
gore/00007-1565006506.png,gore,true,512,512,PNG,
gore/00008-1565006507.png,gore,true,512,512,PNG,
gore/00009-729434463.png,gore,true,512,512,PNG,
gore/00010-729434464.png,gore,true,512,512,PNG,
gore/00011-729434465.png,gore,true,512,512,PNG,
gore/00012-729434466.png,gore,true,512,512,PNG,
gore/00013-84124399.png,gore,true,512,512,PNG,
gore/00014-1310684717.png,gore,true,512,512,PNG,
gore/00015-1310684718.png,gore,true,512,512,PNG,
gore/00016-1310684719.png,gore,true,512,512,PNG,
gore/00017-1310684720.png,gore,true,512,512,PNG,
gore/00018-2909686484.png,gore,true,512,512,PNG,
gore/00019-2909686485.png,gore,true,512,512,PNG,
gore/00020-2909686486.png,gore,true,512,512,PNG,
gore/00021-2909686487.png,gore,true,512,512,PNG,
gore/00022-242155203.png,gore,true,512,512,PNG,
gore/00023-242155204.png,gore,true,512,512,PNG,
gore/00024-242155205.png,gore,true,512,512,PNG,
gore/00025-242155206.png,gore,true,512,512,PNG,
gore/00026-479591029.png,gore,true,512,512,PNG,
gore/00027-479591030.png,gore,true,512,512,PNG,
gore/00028-479591031.png,gore,true,512,512,PNG,
gore/00029-479591032.png,gore,true,512,512,PNG,
gore/00030-910005647.png,gore,true,512,512,PNG,
gore/00031-910005648.png,gore,true,512,512,PNG,
gore/00032-910005649.png,gore,true,512,512,PNG,
gore/00033-910005650.png,gore,true,512,512,PNG,
gore/00034-985276260.png,gore,true,512,512,PNG,
gore/00035-985276261.png,gore,true,512,512,PNG,
gore/00036-985276262.png,gore,true,512,512,PNG,
gore/00037-985276263.png,gore,true,512,512,PNG,
gore/00038-1530780096.png,gore,true,512,512,PNG,
gore/00039-1530780097.png,gore,true,512,512,PNG,
gore/00040-1530780098.png,gore,true,512,512,PNG,
gore/00041-1530780099.png,gore,true,512,512,PNG,
gore/00042-171389627.png,gore,true,512,512,PNG,
gore/00043-171389628.png,gore,true,512,512,PNG,
gore/00044-171389629.png,gore,true,512,512,PNG,
gore/00045-171389630.png,gore,true,512,512,PNG,
gore/00046-993935908.png,gore,true,512,512,PNG,
gore/00047-993935909.png,gore,true,512,512,PNG,
gore/00048-993935910.png,gore,true,512,512,PNG,
gore/00049-993935911.png,gore,true,512,512,PNG,
gore/00050-3597800653.png,gore,true,512,512,PNG,
gore/00051-3597800654.png,gore,true,512,512,PNG,
gore/00052-3597800655.png,gore,true,512,512,PNG,
gore/00053-3597800656.png,gore,true,512,512,PNG,
gore/00054-95206665.png,gore,true,512,512,PNG,
gore/00055-95206666.png,gore,true,512,512,PNG,
gore/00056-95206667.png,gore,true,512,512,PNG,
gore/00057-95206668.png,gore,true,512,512,PNG,
gore/00058-922894746.png,gore,true,512,512,PNG,
gore/00059-922894747.png,gore,true,512,512,PNG,
gore/00060-922894748.png,gore,true,512,512,PNG,
gore/00061-922894749.png,gore,true,512,512,PNG,
gore/00062-252376489.png,gore,true,512,512,PNG,
gore/00063-252376490.png,gore,true,512,512,PNG,
gore/00064-252376491.png,gore,true,512,512,PNG,
gore/00064-2576810047.png,gore,true,512,512,PNG,
gore/00065-252376492.png,gore,true,512,512,PNG,
gore/00065-2576810048.png,gore,true,512,512,PNG,
gore/00066-3391404165.png,gore,true,512,512,PNG,
gore/00067-2576810050.png,gore,true,512,512,PNG,
